agent,opponent,K,agent_role,who_starts,seed,W,D,L,n_games
Improved,Random,4,1,agent,0,189,9,2,200
Improved,Random,4,1,agent,1,173,19,8,200
Improved,Random,4,1,agent,2,182,11,7,200
Improved,Random,4,1,agent,3,185,13,2,200
Improved,Random,4,1,agent,4,175,10,15,200
Improved,Random,4,2,opponent,0,121,25,54,200
Improved,Random,4,2,opponent,1,115,34,51,200
Improved,Random,4,2,opponent,2,116,34,50,200
Improved,Random,4,2,opponent,3,113,32,55,200
Improved,Random,4,2,opponent,4,119,36,45,200
Improved,Algorithm,0,1,agent,0,0,200,0,200
Improved,Algorithm,0,1,agent,1,0,200,0,200
Improved,Algorithm,0,1,agent,2,0,200,0,200
Improved,Algorithm,0,1,agent,3,0,200,0,200
Improved,Algorithm,0,1,agent,4,0,200,0,200
Improved,Algorithm,0,2,opponent,0,0,200,0,200
Improved,Algorithm,0,2,opponent,1,0,200,0,200
Improved,Algorithm,0,2,opponent,2,0,200,0,200
Improved,Algorithm,0,2,opponent,3,0,200,0,200
Improved,Algorithm,0,2,opponent,4,0,200,0,200
Improved,Algorithm,2,1,agent,0,121,79,0,200
Improved,Algorithm,2,1,agent,1,114,86,0,200
Improved,Algorithm,2,1,agent,2,119,81,0,200
Improved,Algorithm,2,1,agent,3,112,88,0,200
Improved,Algorithm,2,1,agent,4,121,79,0,200
Improved,Algorithm,2,2,opponent,0,33,69,98,200
Improved,Algorithm,2,2,opponent,1,26,66,108,200
Improved,Algorithm,2,2,opponent,2,33,64,103,200
Improved,Algorithm,2,2,opponent,3,22,68,110,200
Improved,Algorithm,2,2,opponent,4,29,77,94,200
Improved,Algorithm,4,1,agent,0,130,50,20,200
Improved,Algorithm,4,1,agent,1,137,40,23,200
Improved,Algorithm,4,1,agent,2,135,42,23,200
Improved,Algorithm,4,1,agent,3,128,54,18,200
Improved,Algorithm,4,1,agent,4,130,44,26,200
Improved,Algorithm,4,2,opponent,0,11,46,143,200
Improved,Algorithm,4,2,opponent,1,17,46,137,200
Improved,Algorithm,4,2,opponent,2,11,45,144,200
Improved,Algorithm,4,2,opponent,3,20,55,125,200
Improved,Algorithm,4,2,opponent,4,22,42,136,200
Improved,Minimax,0,1,agent,0,0,200,0,200
Improved,Minimax,0,1,agent,1,0,200,0,200
Improved,Minimax,0,1,agent,2,0,200,0,200
Improved,Minimax,0,1,agent,3,0,200,0,200
Improved,Minimax,0,1,agent,4,0,200,0,200
Improved,Minimax,0,2,opponent,0,0,200,0,200
Improved,Minimax,0,2,opponent,1,0,200,0,200
Improved,Minimax,0,2,opponent,2,0,200,0,200
Improved,Minimax,0,2,opponent,3,0,200,0,200
Improved,Minimax,0,2,opponent,4,0,200,0,200
Improved,Minimax,2,1,agent,0,115,85,0,200
